primary_id,value,timestamp
bjn2p3tp0jt000a5eiug,78.53,1659369111080
bjn2p3tp0jt000a5eiug,78.08,1659370051397
bjn2p3tp0jt000a5eiug,78.26,1659370990723
bjn2p3tp0jt000a5eiug,78.53,1659371933074
bjn2p3tp0jt000a5eiug,77.72,1659372873250
bjn2p3tp0jt000a5eiug,78.44,1659373809607
bjn2p3tp0jt000a5eiug,78.08,1659374749856
bjn2p3tp0jt000a5eiug,78.26,1659375689841
bjn2p3tp0jt000a5eiug,78.44,1659376629746
bjn2p3tp0jt000a5eiug,78.26,1659377570063
bjn2p3tp0jt000a5eiug,78.08,1659378511246
bjn2p3tp0jt000a5eiug,77.99,1659379447595
bjn2p3tp0jt000a5eiug,78.35,1659380387435
bjn2p3tp0jt000a5eiug,77.72,1659381327231
bjn2p3tp0jt000a5eiug,77.54,1659382268329
bjn2p3tp0jt000a5eiug,77.9,1659383209213
bjn2p3tp0jt000a5eiug,77.99,1659384149991
bjn2p3tp0jt000a5eiug,78.08,1659385090206
bjn2p3tp0jt000a5eiug,78.26,1659386030336
bjn2p3tp0jt000a5eiug,78.53,1659386969341
bjn2p3tp0jt000a5eiug,78.35,1659387908325
bjn2p3tp0jt000a5eiug,78.17,1659388847482
bjn2p3tp0jt000a5eiug,78.17,1659389787824
bjn2p3tp0jt000a5eiug,76.37,1659390730110
bjn2p3tp0jt000a5eiug,77.45,1659391670567
bjn2p3tp0jt000a5eiug,77.27,1659392612451
bjn2p3tp0jt000a5eiug,77.27,1659393552828
bjn2p3tp0jt000a5eiug,76.91,1659394494470
bjn2p3tp0jt000a5eiug,76.55,1659395436958
bjn2p3tp0jt000a5eiug,76.28,1659396381073
bjn2p3tp0jt000a5eiug,76.37,1659397322744
bjn2p3tp0jt000a5eiug,76.19,1659398266346
bjn2p3tp0jt000a5eiug,75.38,1659399211646
bjn2p3tp0jt000a5eiug,75.56,1659400155986
bjn2p3tp0jt000a5eiug,75.65,1659401098776
bjn2p3tp0jt000a5eiug,75.56,1659402043326
bjn2p3tp0jt000a5eiug,75.38,1659402988082
bjn2p3tp0jt000a5eiug,75.29,1659403932316
bjn2p3tp0jt000a5eiug,75.47,1659404876970
bjn2p3tp0jt000a5eiug,75.11,1659405822709
bjn2p3tp0jt000a5eiug,75.38,1659406767406
bjn2p3tp0jt000a5eiug,75.38,1659407711075
bjn2p3tp0jt000a5eiug,75.29,1659408657327
bjn2p3tp0jt000a5eiug,75.02,1659409601599
bjn2p3tp0jt000a5eiug,75.2,1659410547993
bjn2p3tp0jt000a5eiug,74.66,1659411493590
bjn2p3tp0jt000a5eiug,75.29,1659412437226
bjn2p3tp0jt000a5eiug,74.48,1659413382740
bjn2p3tp0jt000a5eiug,74.93,1659414328782
bjn2p3tp0jt000a5eiug,74.75,1659415273936
bjn2p3tp0jt000a5eiug,74.75,1659416221646
bjn2p3tp0jt000a5eiug,75.02,1659417165969
bjn2p3tp0jt000a5eiug,74.66,1659418113488
bjn2p3tp0jt000a5eiug,74.75,1659419058331
bjn2p3tp0jt000a5eiug,74.39,1659420004599
bjn2p3tp0jt000a5eiug,74.75,1659420951840
bjn2p3tp0jt000a5eiug,74.66,1659421897801
bjn2p3tp0jt000a5eiug,74.57,1659422842593
bjn2p3tp0jt000a5eiug,74.66,1659423789066
bjn2p3tp0jt000a5eiug,74.48,1659424734753
bjn2p3tp0jt000a5eiug,74.48,1659425681598
bjn2p3tp0jt000a5eiug,74.66,1659426627536
bjn2p3tp0jt000a5eiug,74.48,1659427573711
bjn2p3tp0jt000a5eiug,74.3,1659428520750
bjn2p3tp0jt000a5eiug,74.39,1659429467079
bjn2p3tp0jt000a5eiug,74.75,1659430413840
bjn2p3tp0jt000a5eiug,74.39,1659431361311
bjn2p3tp0jt000a5eiug,74.21,1659432308026
bjn2p3tp0jt000a5eiug,74.3,1659433254945
bjn2p3tp0jt000a5eiug,74.66,1659434200100
bjn2p3tp0jt000a5eiug,74.66,1659435146665
bjn2p3tp0jt000a5eiug,73.85,1659436093353
bjn2p3tp0jt000a5eiug,74.03,1659437040462
bjn2p3tp0jt000a5eiug,74.3,1659437987844
bjn2p3tp0jt000a5eiug,74.48,1659438935229
bjn2p3tp0jt000a5eiug,75.11,1659439880710
bjn2p3tp0jt000a5eiug,75.74,1659440825711
bjn2p3tp0jt000a5eiug,76.19,1659441769736
bjn2p3tp0jt000a5eiug,77,1659442712724
